time,seconds_elapsed,dBFS
1694585783236000000,0.157,-62.3003044128418
1694585783347000000,0.268,-65.96246337890625
1694585783447000000,0.368,-68.39482116699219
1694585783547000000,0.468,-67.11518859863281
1694585783647000000,0.568,-68.98240661621094
1694585783747000000,0.668,-68.6269760131836
1694585783864000000,0.785,-70.83921813964844
1694585783964000000,0.885,-69.67237091064453
1694585784063000000,0.984,-69.93527221679688
1694585784163000000,1.084,-70.2000732421875
1694585784263000000,1.184,-70.4967269897461
1694585784363000000,1.284,-65.76692962646484
1694585784463000000,1.384,-58.67840576171875
1694585784563000000,1.484,-58.646759033203125
1694585784680000000,1.601,-43.25233840942383
1694585784779000000,1.7,-43.430538177490234
1694585784879000000,1.8,-46.92459487915039
1694585784979000000,1.9,-50.0396728515625
1694585785079000000,2,-52.30148696899414
1694585785179000000,2.1,-52.95064163208008
1694585785279000000,2.2,-17.483776092529297
1694585785379000000,2.3,-19.403514862060547
1694585785479000000,2.4,-16.016822814941406
1694585785596000000,2.517,-16.078792572021484
1694585785695000000,2.616,-17.78845977783203
1694585785795000000,2.716,-20.42597770690918
1694585785895000000,2.816,-19.69474220275879
1694585785995000000,2.916,-15.795519828796387
1694585786095000000,3.016,-14.888961791992188
1694585786195000000,3.116,-13.719932556152344
1694585786295000000,3.216,-15.70356273651123
1694585786395000000,3.316,-19.425678253173828
1694585786495000000,3.416,-24.4185848236084
1694585786612000000,3.533,-29.425052642822266
1694585786711000000,3.632,-34.2771110534668
1694585786811000000,3.732,-38.016448974609375
1694585786911000000,3.832,-42.65169906616211
1694585787011000000,3.932,-46.989158630371094
1694585787111000000,4.032,-47.53438186645508
1694585787211000000,4.132,-50.506500244140625
1694585787311000000,4.232,-53.83791732788086
1694585787411000000,4.332,-50.809627532958984
1694585787511000000,4.432,-52.498844146728516
1694585787611000000,4.532,-54.44621658325195
1694585787728000000,4.649,-49.4670295715332
1694585787828000000,4.749,-51.882530212402344
1694585787928000000,4.849,-53.54811477661133
1694585788027000000,4.948,-54.92436599731445
1694585788127000000,5.048,-55.44788360595703
1694585788227000000,5.148,-51.951168060302734
1694585788327000000,5.248,-54.51387023925781
1694585788427000000,5.348,-51.99332809448242
1694585788544000000,5.465,-9.694149017333984
1694585788644000000,5.565,-8.904276847839355
1694585788743000000,5.664,-13.00557804107666
1694585788843000000,5.764,-17.050697326660156
1694585788944000000,5.865,-20.85384178161621
1694585789043000000,5.964,-10.726304054260254
1694585789144000000,6.065,-14.730544090270996
1694585789243000000,6.164,-11.267470359802246
1694585789343000000,6.264,-12.114384651184082
1694585789443000000,6.364,-14.222579956054688
1694585789560000000,6.481,-12.832225799560547
1694585789660000000,6.581,-12.104391098022461
1694585789759000000,6.68,-16.30543327331543
1694585789859000000,6.78,-20.21000862121582
1694585789959000000,6.88,-24.46321678161621
1694585790059000000,6.98,-15.930086135864258
1694585790159000000,7.08,-16.959426879882812
1694585790259000000,7.18,-18.411027908325195
1694585790359000000,7.28,-17.273775100708008
1694585790476000000,7.397,-18.09457778930664
1694585790576000000,7.497,-21.355226516723633
1694585790676000000,7.597,-24.2550106048584
1694585790832000000,7.753,-30.488676071166992
1694585790942000000,7.863000244140625,-35.358360290527344
1694585791058000000,7.978999755859375,-40.92438507080078
1694585791159000000,8.08,-44.37943649291992
1694585791258000000,8.178999755859374,-48.4333381652832
1694585791358000000,8.279000244140626,-51.29771041870117
1694585791458000000,8.378999755859375,-53.888572692871094
1694585791558000000,8.479000244140625,-52.15024185180664
1694585791658000000,8.578999755859375,-53.95378875732422
1694585791759000000,8.68,-55.673561096191406
1694585791875000000,8.796,-54.894901275634766
1694585791975000000,8.896,-20.81543731689453
1694585792074000000,8.994999755859375,-15.23949909210205
1694585792183000000,9.104,-18.304405212402344
1694585792275000000,9.196,-22.89411735534668
1694585792374000000,9.295000244140626,-26.83417320251465
1694585792474000000,9.394999755859375,-31.821985244750977
1694585792591000000,9.512,-36.42333984375
1694585792690000000,9.610999755859375,-41.12730407714844
1694585792790000000,9.711000244140624,-45.64388656616211
1694585792891000000,9.812,-48.571006774902344
1694585792991000000,9.912,-48.409645080566406
1694585793090000000,10.010999755859375,-50.58922576904297
1694585793190000000,10.111000244140625,-51.8167610168457
1694585793290000000,10.210999755859374,-52.17993927001953
1694585793390000000,10.311000244140626,-54.39268493652344
1694585793507000000,10.428,-56.72185134887695
1694585793607000000,10.528,-57.75487518310547
1694585793707000000,10.628,-58.69777297973633
1694585793806000000,10.727000244140624,-48.8228759765625
1694585793906000000,10.826999755859376,-45.48952102661133
1694585794006000000,10.927000244140626,-47.158958435058594
1694585794106000000,11.026999755859375,-49.13705062866211
1694585794206000000,11.127000244140625,-51.70432662963867
1694585794306000000,11.226999755859374,-54.19012451171875
1694585794406000000,11.327000244140624,-56.56669616699219
1694585794522000000,11.442999755859375,-58.52678298950195
1694585794623000000,11.544,-58.44199752807617
1694585794722000000,11.642999755859375,-57.395484924316406
1694585794822000000,11.743000244140624,-58.524986267089844
1694585794922000000,11.842999755859376,-59.458213806152344
1694585795022000000,11.943000244140626,-59.81718063354492
1694585795122000000,12.042999755859375,-57.43312454223633
1694585795222000000,12.143000244140625,-19.22225570678711
1694585795339000000,12.26,-8.959680557250977
1694585795439000000,12.36,-11.77131175994873
1694585795538000000,12.458999755859375,-16.47466278076172
1694585795638000000,12.559000244140625,-19.55832862854004
1694585795739000000,12.66,-10.869746208190918
1694585795838000000,12.759000244140625,-13.442866325378418
1694585795938000000,12.858999755859376,-10.569823265075684
1694585796038000000,12.959000244140626,-11.39747428894043
1694585796138000000,13.058999755859375,-16.058502197265625
1694585796255000000,13.176,-21.14288330078125
1694585796394000000,13.314999755859375,-28.16426658630371
1694585796504000000,13.425,-33.083438873291016
1694585796604000000,13.525,-36.57894515991211
1694585796704000000,13.625,-41.222774505615234
1694585796804000000,13.725,-40.650367736816406
1694585796904000000,13.825,-43.245208740234375
1694585797004000000,13.925,-46.055633544921875
1694585797123000000,14.044,-40.26871871948242
1694585797221000000,14.142,-43.0059700012207
1694585797321000000,14.242,-46.27417755126953
1694585797421000000,14.342,-49.61082077026367
1694585797521000000,14.442,-50.751678466796875
1694585797621000000,14.542,-52.72679138183594
1694585797721000000,14.642,-53.92141342163086
1694585797820000000,14.741,-55.37434768676758
1694585797920000000,14.841,-56.476200103759766
1694585798037000000,14.958,-56.26371765136719
1694585798137000000,15.058,-56.091365814208984
1694585798237000000,15.158,-57.506595611572266
1694585798337000000,15.258,-59.318992614746094
1694585798436000000,15.357,-57.407833099365234
1694585798536000000,15.457,-55.70139694213867
1694585798636000000,15.557,-54.47745132446289
1694585798736000000,15.657,-56.50558090209961
1694585798836000000,15.757,-58.17948532104492
1694585798953000000,15.874,-57.430118560791016
1694585799053000000,15.974,-55.75120162963867
1694585799153000000,16.074,-18.014326095581055
1694585799253000000,16.174,-11.775799751281738
1694585799352000000,16.273,-13.034019470214844
1694585799452000000,16.373,-15.453606605529785
1694585799552000000,16.473,-19.23672866821289
1694585799652000000,16.573,-12.92320728302002
1694585799769000000,16.69,-15.9350004196167
1694585799869000000,16.79,-14.564754486083984
1694585799969000000,16.89,-15.602639198303223
1694585800068000000,16.989,-19.008527755737305
1694585800168000000,17.089,-24.01327133178711
1694585800270000000,17.191000244140625,-28.049514770507812
1694585800401000000,17.322,-33.9299430847168
1694585800485000000,17.406,-37.74739456176758
1694585800585000000,17.506,-42.32219314575195
1694585800685000000,17.606,-45.78423309326172
1694585800785000000,17.706,-48.76392364501953
1694585800885000000,17.806,-52.23455810546875
1694585800985000000,17.906,-54.53779983520508
1694585801085000000,18.006,-54.38201141357422
1694585801185000000,18.106,-55.62247085571289
1694585801285000000,18.206,-57.3427619934082
1694585801384000000,18.305,-59.04031753540039
1694585801484000000,18.405,-54.566673278808594
1694585801584000000,18.505,-54.62129592895508
1694585801701000000,18.622,-56.582984924316406
1694585801801000000,18.722,-56.62655258178711
1694585801900000000,18.821,-58.12278747558594
1694585802000000000,18.921,-59.187599182128906
1694585802100000000,19.021,-57.419593811035156
1694585802200000000,19.121,-55.729740142822266
1694585802301000000,19.222,-55.63039016723633
1694585802400000000,19.321,-54.541778564453125
1694585802500000000,19.421,-55.475006103515625
1694585802600000000,19.521,-55.43778991699219
1694585802700000000,19.621,-54.5285530090332
1694585802817000000,19.738,-50.56122589111328
1694585802917000000,19.838,-52.772830963134766
1694585803017000000,19.938,-51.56629180908203
1694585803117000000,20.038,-54.211875915527344
1694585803216000000,20.137,-51.188079833984375
1694585803317000000,20.238,-53.899620056152344
1694585803416000000,20.337,-55.255191802978516
1694585803516000000,20.437,-21.023576736450195
1694585803616000000,20.537,-11.064929962158203
1694585803716000000,20.637,-8.423175811767578
1694585803833000000,20.754,-9.384218215942383
1694585803933000000,20.854,-13.809524536132812
1694585804033000000,20.954,-18.36417007446289
1694585804133000000,21.054,-22.07217025756836
1694585804232000000,21.153,-26.965579986572266
1694585804373000000,21.294,-33.789188385009766
1694585804482000000,21.402999755859376,-38.44960021972656
1694585804582000000,21.503000244140626,-42.12372970581055
1694585804682000000,21.602999755859376,-46.24392318725586
1694585804799000000,21.72,-50.604496002197266
1694585804899000000,21.82,-53.03330993652344
1694585804999000000,21.92,-55.06984329223633
1694585805098000000,22.018999755859376,-55.230770111083984
1694585805199000000,22.12,-56.08341979980469
1694585805298000000,22.218999755859375,-54.944007873535156
1694585805415000000,22.336,-55.24702072143555
1694585805532000000,22.453,-52.77784729003906
1694585805632000000,22.553,-52.048038482666016
1694585805731000000,22.652,-34.184715270996094
1694585805831000000,22.752,-38.566856384277344
1694585805931000000,22.852,-42.69793701171875
1694585806048000000,22.969,-46.37734603881836
1694585806148000000,23.069,-50.17155075073242
1694585806248000000,23.169,-52.8780517578125
1694585806348000000,23.269,-54.58008575439453
1694585806448000000,23.369,-52.9925651550293
1694585806547000000,23.468,-55.66115188598633
1694585806647000000,23.568,-53.41313934326172
1694585806747000000,23.668,-55.233524322509766
1694585806847000000,23.768,-45.974632263183594
1694585806964000000,23.885,-13.906096458435059
1694585807064000000,23.985,-11.278519630432129
1694585807164000000,24.085,-11.3792085647583
1694585807264000000,24.185,-9.122252464294434
1694585807364000000,24.285,-11.278510093688965
1694585807464000000,24.385,-15.998442649841309
1694585807564000000,24.485,-19.766695022583008
1694585807663000000,24.584,-24.501447677612305
1694585807763000000,24.684,-29.373502731323242
1694585807863000000,24.784,-33.22014236450195
1694585807963000000,24.884,-37.88602066040039
1694585808169000000,25.09,-46.16765213012695
1694585808279000000,25.2,-49.77388381958008
1694585808379000000,25.3,-52.13166427612305
1694585808480000000,25.401,-54.31595993041992
1694585808580000000,25.501,-55.65702819824219
1694585808679000000,25.6,-54.8884162902832
1694585808796000000,25.717,-56.44213104248047
1694585808900000000,25.821,-55.031463623046875
1694585809013000000,25.934,-56.64240264892578
1694585809112000000,26.033,-58.648460388183594
1694585809212000000,26.133,-55.459041595458984
1694585809331000000,26.252,-56.684783935546875
1694585809429000000,26.35,-58.49647521972656
1694585809529000000,26.45,-58.67801284790039
1694585809629000000,26.55,-51.37199401855469
1694585809728000000,26.649,-54.19648361206055
1694585809828000000,26.749,-55.70452880859375
1694585809928000000,26.849,-57.1077880859375
1694585810045000000,26.966,-56.4068717956543
1694585810145000000,27.066,-57.1682243347168
1694585810247000000,27.168,-55.36127471923828
1694585810345000000,27.266,-52.9036979675293
1694585810445000000,27.366,-54.36753463745117
1694585810545000000,27.466,-56.68506622314453
1694585810644000000,27.565,-54.60744094848633
1694585810745000000,27.666,-54.21335983276367
1694585810844000000,27.765,-52.6883659362793
1694585810944000000,27.865,-20.460363388061523
1694585811061000000,27.982,-8.669937133789062
1694585811161000000,28.082,-9.769001960754395
1694585811261000000,28.182,-13.804774284362793
1694585811361000000,28.282,-17.680194854736328
1694585811460000000,28.381,-22.218564987182617
1694585811560000000,28.481,-27.08246612548828
1694585811660000000,28.581,-30.47752571105957
1694585811761000000,28.682,-35.12009048461914
1694585811881000000,28.802,-40.51667785644531
1694585811993000000,28.914,-44.7702522277832
1694585812093000000,29.014,-48.40488815307617
1694585812193000000,29.114,-51.1051139831543
1694585812293000000,29.214,-53.73810577392578
1694585812410000000,29.330999755859374,-54.096412658691406
1694585812511000000,29.432,-53.89797592163086
1694585812610000000,29.530999755859376,-55.86689376831055
1694585812710000000,29.631000244140626,-54.230594635009766
1694585812810000000,29.730999755859376,-49.87650680541992
1694585812910000000,29.831000244140625,-41.72193145751953
1694585813009000000,29.93,-40.396846771240234
1694585813126000000,30.047000244140627,-41.24205780029297
1694585813226000000,30.146999755859376,-44.44148254394531
1694585813326000000,30.247000244140626,-47.61982345581055
